gameid,date,league,patch,blue,red,blue_win,best_of
LTA South/2025 Season/Split 3_Round 1_2_3,2025-08-24 18:15:00,LTA South,25.16,Isurus,Leviatan,1,1
LTA South/2025 Season/Split 3_Round 1_2_4,2025-08-24 19:11:00,LTA South,25.16,Leviatan,Isurus,1,1
LTA North/2025 Season/Split 3_Round 1_2_1,2025-08-24 20:06:00,LTA North,25.16,LYON (2024 American Team),100 Thieves,0,1
LTA South/2025 Season/Split 3_Round 1_2_5,2025-08-24 20:09:00,LTA South,25.16,Leviatan,Isurus,1,1
LTA North/2025 Season/Split 3_Round 1_2_2,2025-08-24 21:08:00,LTA North,25.16,LYON (2024 American Team),100 Thieves,0,1
LTA North/2025 Season/Split 3_Round 1_2_3,2025-08-24 21:54:00,LTA North,25.16,LYON (2024 American Team),100 Thieves,1,1
LTA North/2025 Season/Split 3_Round 1_2_4,2025-08-24 22:46:00,LTA North,25.16,100 Thieves,LYON (2024 American Team),1,1
LPL/2025 Season/Split 3_Week 7_1_1,2025-08-25 09:12:00,LPL,25.16,LGD Gaming,Ultra Prime,0,1
LPL/2025 Season/Split 3_Week 7_1_2,2025-08-25 10:05:00,LPL,25.16,LGD Gaming,Ultra Prime,1,1
LPL/2025 Season/Split 3_Week 7_1_3,2025-08-25 10:51:00,LPL,25.16,Ultra Prime,LGD Gaming,0,1
LPL/2025 Season/Split 3_Week 7_2_1,2025-08-25 11:56:00,LPL,25.16,FunPlus Phoenix,Bilibili Gaming,0,1
LPL/2025 Season/Split 3_Week 7_2_2,2025-08-25 13:02:00,LPL,25.16,FunPlus Phoenix,Bilibili Gaming,0,1
LEC/2025 Season/Summer Season_Week 4_1_1,2025-08-25 15:08:00,LEC,25.16,SK Gaming,G2 Esports,0,1
LEC/2025 Season/Summer Season_Week 4_1_2,2025-08-25 15:54:00,LEC,25.16,G2 Esports,SK Gaming,1,1
LEC/2025 Season/Summer Season_Week 4_2_1,2025-08-25 16:51:00,LEC,25.16,Team BDS,Team Heretics,0,1
LEC/2025 Season/Summer Season_Week 4_2_2,2025-08-25 17:47:00,LEC,25.16,Team Heretics,Team BDS,0,1
LEC/2025 Season/Summer Season_Week 4_2_3,2025-08-25 18:48:00,LEC,25.16,Team Heretics,Team BDS,1,1
LPL/2025 Season/Split 3_Week 7_3_1,2025-08-26 09:11:00,LPL,25.16,Team WE,Invictus Gaming,0,1
LPL/2025 Season/Split 3_Week 7_3_2,2025-08-26 10:04:00,LPL,25.16,Team WE,Invictus Gaming,0,1
LPL/2025 Season/Split 3_Week 7_4_1,2025-08-26 11:01:00,LPL,25.16,Top Esports,FunPlus Phoenix,1,1
LPL/2025 Season/Split 3_Week 7_4_2,2025-08-26 11:56:00,LPL,25.16,FunPlus Phoenix,Top Esports,1,1
LPL/2025 Season/Split 3_Week 7_4_3,2025-08-26 12:57:00,LPL,25.16,Top Esports,FunPlus Phoenix,1,1
LEC/2025 Season/Summer Season_Week 4_3_1,2025-08-26 15:11:00,LEC,25.16,Team Vitality,Movistar KOI,0,1
LEC/2025 Season/Summer Season_Week 4_3_2,2025-08-26 16:15:00,LEC,25.16,Movistar KOI,Team Vitality,1,1
LEC/2025 Season/Summer Season_Week 4_4_1,2025-08-26 17:09:00,LEC,25.16,Natus Vincere,GIANTX,0,1
LEC/2025 Season/Summer Season_Week 4_4_2,2025-08-26 18:10:00,LEC,25.16,Natus Vincere,GIANTX,0,1
LCK/2025 Season/Rounds 3-5_Week 15_1_1,2025-08-27 08:04:00,LCK,25.16,T1,Hanwha Life Esports,1,1
LCK/2025 Season/Rounds 3-5_Week 15_1_2,2025-08-27 08:54:00,LCK,25.16,Hanwha Life Esports,T1,1,1
LPL/2025 Season/Split 3_Week 7_5_1,2025-08-27 09:10:00,LPL,25.16,Weibo Gaming,JD Gaming,1,1
LCK/2025 Season/Rounds 3-5_Week 15_1_3,2025-08-27 10:04:00,LCK,25.16,T1,Hanwha Life Esports,1,1
LPL/2025 Season/Split 3_Week 7_5_2,2025-08-27 10:08:00,LPL,25.16,JD Gaming,Weibo Gaming,0,1
LPL/2025 Season/Split 3_Week 7_6_1,2025-08-27 11:09:00,LPL,25.16,Team WE,Anyone's Legend,1,1
